Assembly_Accession,Taxonomy,SNOR_presence,SNOR_copies
GCF_028827245.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium angulare,TRUE,1
GCA_018858115.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Tephrocybe;Tephrocybe rancida,FALSE,0
GCA_009428295.1,Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia;Tilletia walkeri,TRUE,1
GCA_013365045.1,Fungi;Ascomycota;Dipodascomycetes;Dipodascales;Dipodascaceae;Geotrichum;Geotrichum candidum,TRUE,1
GCF_020137385.1,Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella;Morchella sextelata,TRUE,1
GCA_024521645.1,Fungi;Ascomycota;Pezizomycetes;Pezizales;Morchellaceae;Morchella;Morchella snyderi,TRUE,1
GCF_010093885.1,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella;Aplosporella prunicola,TRUE,1
GCA_010015705.1,Fungi;Ascomycota;Dothideomycetes;Aulographales;Aulographaceae;Aulographum;Aulographum hederae,TRUE,1
GCA_022605425.2,Fungi;Microsporidia;NA;NA;Dubosqiidae;Hamiltosporidium;Hamiltosporidium tvaerminnensis,FALSE,0
GCF_000585515.1,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora yegresii,TRUE,1
GCF_000293215.1,Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon asahii,TRUE,1
GCF_024043165.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria incomplexa,TRUE,1
GCF_023758065.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria ventricosa,TRUE,1
GCA_027946515.1,Fungi;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Gnomoniopsis;Gnomoniopsis smithogilvyi,TRUE,1
GCA_016758965.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Circinella;Circinella minor,TRUE,1
GCF_907166805.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria atra,TRUE,2
GCF_900519145.1,Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago;Ustilago hordei,TRUE,1
GCA_013266185.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sarcochroum,FALSE,0
GCA_036851105.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum tabaci,TRUE,1
GCF_030867565.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum costaricense,TRUE,1
GCA_030869315.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum cuscutae,TRUE,1
GCF_001831195.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum orchidophilum,TRUE,1
GCA_001563125.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum salicis,TRUE,1
GCA_026319135.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum nupharicola,TRUE,1
GCF_038381095.1,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta capitalensis,TRUE,1
GCA_030867305.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum zoysiae,TRUE,1
GCF_033473495.1,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Cercospora;Cercospora beticola,TRUE,1
GCA_013396255.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sp. NRRL 25303,TRUE,1
GCA_009193595.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus bertholletiae,TRUE,1
GCF_900067095.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium proliferatum,TRUE,1
GCA_947670415.1,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida;Candida verbasci,TRUE,1
GCF_000516985.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Sporocadaceae;Pestalotiopsis;Pestalotiopsis fici,TRUE,1
GCA_002105025.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lindgomycetaceae;Clohesyomyces;Clohesyomyces aquaticus,TRUE,1
GCA_012931995.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium albosuccineum,TRUE,1
GCA_029168975.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Purpureocillium;Purpureocillium lavendulum,FALSE,0
GCA_963921875.1,Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix curviconia,TRUE,1
GCF_036426115.1,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella botswanensis,TRUE,1
GCF_028826915.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium bovifimosum,TRUE,1
GCA_000814955.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium;Metarhizium guizhouense,TRUE,3
GCF_900079805.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium fujikuroi,TRUE,1
GCA_000732775.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Stachybotrys;Stachybotrys chlorohalonatus,TRUE,1
GCA_025603285.1,Fungi;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Piptocephalis;Piptocephalis tieghemiana,TRUE,1
GCA_029218145.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;NA;Aphanocladium;Aphanocladium album,FALSE,0
GCA_018360465.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Claviceps;Claviceps humidiphila,TRUE,1
GCF_001720195.1,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus depauperatus,TRUE,1
GCF_001720205.1,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus amylolentus,TRUE,2
GCF_036810415.1,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella dendrophila,TRUE,1
GCF_000512585.2,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella bestiolae,TRUE,1
GCF_000836335.1,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus bacillisporus,TRUE,1
GCA_000507405.3,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella heveanensis,TRUE,1
GCF_000507465.2,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella mangrovensis,TRUE,1
GCA_911456345.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium egyptiacum,TRUE,1
GCF_036884685.1,Fungi;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces xylosifermentans,TRUE,1
GCA_001263195.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Termitomyces;Termitomyces sp. J132,TRUE,1
GCA_005350895.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum tanaceti,TRUE,1
GCA_003947045.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium ambrosium,TRUE,1
GCA_010093785.1,Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Polychaeton;Polychaeton citri,TRUE,1
GCA_000934385.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Cylindrobasidium;Cylindrobasidium torrendii,TRUE,1
GCF_003711515.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Sodiomyces;Sodiomyces alkalinus,TRUE,1
GCA_001632355.1,Fungi;Basidiomycota;Agaricomycetes;Trechisporales;NA;Sistotremastrum;Sistotremastrum suecicum,TRUE,1
GCA_001632345.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;Fomitopsis quercina,TRUE,1
GCF_001632365.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Laetiporaceae;Laetiporus;Laetiporus sulphureus,TRUE,1
GCA_010015785.1,Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Saccharataceae;Saccharata;Saccharata proteae,TRUE,1
GCA_010405375.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae;Lophiostoma;Lophiostoma macrostomum,TRUE,1
GCA_002104905.1,Fungi;Zoopagomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus;Basidiobolus meristosporus,TRUE,5
GCA_025399235.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Backusellaceae;Backusella;Backusella circina,FALSE,0
GCA_001658105.1,Fungi;Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon;Rhizopogon vinicolor,TRUE,1
GCA_010093715.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleomassariaceae;Pleomassaria;Pleomassaria siparia,TRUE,1
GCA_004369135.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;NA;Dendrothele;Dendrothele bispora,TRUE,1
GCA_007825325.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Lachnaceae;Lachnellula;Lachnellula cervina,TRUE,1
GCF_007821495.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Lachnaceae;Lachnellula;Lachnellula hyalina,TRUE,1
GCA_014904975.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius fiardii,TRUE,1
GCF_003813185.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Lentinus;Lentinus tigrinus,TRUE,1
GCF_001619985.1,Fungi;Ascomycota;Xylonomycetes;Xylonales;Xylonaceae;Xylona;Xylona heveae,TRUE,1
GCA_905071765.1,Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia;Tilletia controversa,TRUE,1
GCA_001633055.2,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps polyrhachis-furcata,TRUE,1
GCA_003086715.1,Fungi;Zoopagomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium;Smittium megazygosporum,FALSE,0
GCA_003086735.1,Fungi;Zoopagomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium;Smittium simulii,FALSE,0
GCF_038363985.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Apiospora;Apiospora kogelbergensis,TRUE,1
GCF_002708625.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;Rhizopus microsporus,TRUE,2
GCF_028827695.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium maclennaniae,TRUE,1
GCA_016098155.1,Fungi;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Actinomortierella;Actinomortierella ambigua,TRUE,1
GCA_010093705.1,Fungi;Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Patellaria;Patellaria atrata,TRUE,1
GCA_004366825.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum spinosum,TRUE,1
GCA_024195185.1,Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coniferiporia;Coniferiporia weirii,TRUE,1
GCA_001984395.2,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces parabailii,TRUE,2
GCA_002105135.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Syncephalastraceae;Syncephalastrum;Syncephalastrum racemosum,TRUE,2
GCA_022606235.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Podoscyphaceae;Abortiporus;Abortiporus biennis,TRUE,2
GCA_036674765.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Sporocadaceae;Seiridium;Seiridium cupressi,TRUE,1
GCA_029542885.1,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia caprae,TRUE,1
GCF_000576695.1,Fungi;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Kuraishia;Kuraishia capsulata,TRUE,1
GCF_016097325.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus melleus,TRUE,1
GCF_022830035.1,Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces;Ophidiomyces ophidiicola,TRUE,1
GCF_000600275.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus ruber,TRUE,1
GCA_015501055.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Mucidula;Mucidula mucida,TRUE,1
GCA_000750675.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-3808,TRUE,1
GCF_010015585.1,Fungi;Ascomycota;Dothideomycetes;Eremomycetales;Eremomycetaceae;Eremomyces;Eremomyces bilateralis,TRUE,1
GCA_010093485.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Karstenula;Karstenula rhodostoma,TRUE,1
GCA_015179045.1,Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Kalaharituber;Kalaharituber pfeilii,TRUE,1
GCA_010093635.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Massarina;Massarina eburnea,TRUE,1
GCA_014898285.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;Botrytis aclada,TRUE,1
GCF_039999085.1,Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;Cystobasidium minutum,FALSE,0
GCF_000820605.1,Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix brasiliensis,TRUE,1
GCA_002591415.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps australis,TRUE,1
GCA_011800875.2,Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;Suillus brevipes,TRUE,1
GCA_015584085.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Macrolepiota;Macrolepiota fuliginosa,TRUE,1
GCA_042370635.1,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Corynascus;Corynascus similis,TRUE,1
GCA_001879275.1,Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta;Coniochaeta ligniaria,TRUE,2
GCA_010093695.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Plenodomus;Plenodomus tracheiphilus,TRUE,1
GCF_000968595.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia emersonii,TRUE,1
GCF_001477535.1,Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis jirovecii,FALSE,0
GCA_000750715.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-3775,TRUE,1
GCA_000750735.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-4246,TRUE,1
GCA_000750745.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-4281 (FW-2241),TRUE,1
GCA_000750935.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-4519 (FW-2642),FALSE,0
GCA_000750995.1,Fungi;Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-4520 (FW-2644),TRUE,1
